"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.nttdata.dbcon","src/com/nttdata/dbcon/ConnectionHolder.java","3","16","Avoid variables with short names like ds","Naming Rules","ShortVariable"
"2","com.nttdata.dbcon","src/com/nttdata/dbcon/ConnectionHolder.java","3","16","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"3","com.nttdata.dbcon","src/com/nttdata/dbcon/ConnectionHolder.java","3","36","Local variable 'envContext' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"4","com.nttdata.dbcon","src/com/nttdata/dbcon/ConnectionHolder.java","3","41","Caught exception is rethrown, original stack trace may be lost","Design Rules","PreserveStackTrace"
"5","com.nttdata.dbcon","src/com/nttdata/dbcon/ConnectionHolder.java","3","52","Caught exception is rethrown, original stack trace may be lost","Design Rules","PreserveStackTrace"
"6","com.nttdata.dbcon","src/com/nttdata/dbcon/ConnectionHolder.java","3","58","Local variable 'bds' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"7","com.nttdata.dbcon","src/com/nttdata/dbcon/ConnectionHolder.java","3","64","Caught exception is rethrown, original stack trace may be lost","Design Rules","PreserveStackTrace"
"8","com.nttdata.dbcon","src/com/nttdata/dbcon/DBConnectionException.java","3","5","It is a good practice to call super() in a constructor","Controversial Rules","CallSuperInConstructor"
"9","com.nttdata.dbfw","src/com/nttdata/dbfw/DBHelper.java","3","19","Parameter 'con' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"10","com.nttdata.dbfw","src/com/nttdata/dbfw/DBHelper.java","3","20","Parameter 'outMap' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"11","com.nttdata.dbfw","src/com/nttdata/dbfw/DBHelper.java","5","21","Found 'DD'-anomaly for variable 'prepStmt' (lines '21'-'25').","Controversial Rules","DataflowAnomalyAnalysis"
"12","com.nttdata.dbfw","src/com/nttdata/dbfw/DBHelper.java","5","22","Found 'DD'-anomaly for variable 'resSet' (lines '22'-'26').","Controversial Rules","DataflowAnomalyAnalysis"
"13","com.nttdata.dbfw","src/com/nttdata/dbfw/DBHelper.java","5","23","Found 'DU'-anomaly for variable 'resultList' (lines '23'-'53').","Controversial Rules","DataflowAnomalyAnalysis"
"14","com.nttdata.dbfw","src/com/nttdata/dbfw/DBHelper.java","3","23","Local variable 'resultList' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"15","com.nttdata.dbfw","src/com/nttdata/dbfw/DBHelper.java","3","28","Local variable 'obj' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"16","com.nttdata.dbfw","src/com/nttdata/dbfw/DBHelper.java","3","34","Caught exception is rethrown, original stack trace may be lost","Design Rules","PreserveStackTrace"
"17","com.nttdata.dbfw","src/com/nttdata/dbfw/DBHelper.java","3","49","Caught exception is rethrown, original stack trace may be lost","Design Rules","PreserveStackTrace"
